DD/MM/YYYY HH:MM:SS	light(lux)
24/07/2021 21:39:56	1.136
24/07/2021 21:44:56	1.136
24/07/2021 21:49:56	1.136
24/07/2021 21:54:56	1.136
24/07/2021 21:59:56	1.136
24/07/2021 22:04:56	1.136
24/07/2021 22:09:56	1.136
24/07/2021 22:14:56	1.136
24/07/2021 22:19:56	1.136
24/07/2021 22:24:56	1.136
24/07/2021 22:29:56	1.136
24/07/2021 22:34:56	1.136
24/07/2021 22:39:56	1.136
24/07/2021 22:44:56	1.136
24/07/2021 22:49:56	1.136
24/07/2021 22:54:56	1.136
24/07/2021 22:59:56	1.136
24/07/2021 23:04:56	1.136
24/07/2021 23:09:56	1.136
24/07/2021 23:14:56	1.136
24/07/2021 23:19:56	1.136
24/07/2021 23:24:56	1.136
24/07/2021 23:29:56	1.136
24/07/2021 23:34:56	1.136
24/07/2021 23:39:56	1.136
24/07/2021 23:44:56	1.136
24/07/2021 23:49:56	1.136
24/07/2021 23:54:56	1.136
24/07/2021 23:59:56	1.136
25/07/2021 00:04:56	1.136
25/07/2021 00:09:56	1.136
25/07/2021 00:14:56	1.136
25/07/2021 00:19:56	1.136
25/07/2021 00:24:56	1.136
25/07/2021 00:29:56	1.136
25/07/2021 00:34:56	1.136
25/07/2021 00:39:56	1.136
25/07/2021 00:44:56	1.136
25/07/2021 00:49:56	1.136
25/07/2021 00:54:56	1.136
25/07/2021 00:59:56	1.136
25/07/2021 01:04:56	1.136
25/07/2021 01:09:56	1.136
25/07/2021 01:14:56	1.136
25/07/2021 01:19:56	1.136
25/07/2021 01:24:56	1.136
25/07/2021 01:29:56	1.136
25/07/2021 01:34:56	1.136
25/07/2021 01:39:56	1.136
25/07/2021 01:44:56	1.136
25/07/2021 01:49:56	1.136
25/07/2021 01:54:56	1.136
25/07/2021 01:59:56	1.136
25/07/2021 02:04:56	1.136
25/07/2021 02:09:56	1.136
25/07/2021 02:14:56	1.136
25/07/2021 02:19:56	1.136
25/07/2021 02:24:56	1.136
25/07/2021 02:29:56	1.136
25/07/2021 02:34:56	1.136
25/07/2021 02:39:56	1.136
25/07/2021 02:44:56	1.136
25/07/2021 02:49:56	1.136
25/07/2021 02:54:56	1.136
25/07/2021 02:59:56	1.136
25/07/2021 03:04:56	1.136
25/07/2021 03:09:56	1.136
25/07/2021 03:14:56	1.136
25/07/2021 03:19:56	1.136
25/07/2021 03:24:56	1.136
25/07/2021 03:29:56	1.136
25/07/2021 03:34:56	1.136
25/07/2021 03:39:56	1.136
25/07/2021 03:44:56	1.136
25/07/2021 03:49:56	1.136
25/07/2021 03:54:56	1.136
25/07/2021 03:59:56	1.136
25/07/2021 04:04:56	1.136
25/07/2021 04:09:56	1.136
25/07/2021 04:14:56	1.136
25/07/2021 04:19:56	1.136
25/07/2021 04:24:56	1.136
25/07/2021 04:29:56	1.136
25/07/2021 04:34:56	1.136
25/07/2021 04:39:56	1.136
25/07/2021 04:44:56	1.136
25/07/2021 04:49:56	1.136
25/07/2021 04:54:56	1.136
25/07/2021 04:59:56	1.136
25/07/2021 05:04:56	1.136
25/07/2021 05:09:56	1.136
25/07/2021 05:14:56	1.136
25/07/2021 05:19:56	1.136
25/07/2021 05:24:56	1.136
25/07/2021 05:29:56	1.136
25/07/2021 05:34:56	1.136
25/07/2021 05:39:56	1.136
25/07/2021 05:44:56	1.136
25/07/2021 05:49:56	1.136
25/07/2021 05:54:56	1.136
25/07/2021 05:59:56	1.136
25/07/2021 06:04:56	1.136
25/07/2021 06:09:56	1.136
25/07/2021 06:14:56	1.136
25/07/2021 06:19:56	1.136
25/07/2021 06:24:56	1.136
25/07/2021 06:29:56	1.136
25/07/2021 06:34:56	1.136
25/07/2021 06:39:56	1.136
25/07/2021 06:44:56	1.136
25/07/2021 06:49:56	1.136
